"Arrival Block Detail","Departure Block Detail","Touchdown Time","Take Off Time","Arrival Time Actual","Departure Time Actual","Departure Time Scheduled","Arrival Time Scheduled","Delay main reason","Total Delay","First Departure Time","Departure Block Hour","Arrival Time Block","Day Of Week","Flight Date","Airline ID","Airline Code","Aircraft Tail ID","Flight Number","Origin Airport ID","Origin City ID","Origin Airport Code","Origin City Name","Origin State Abr","Origin State Name","Destination Airport ID","Destination City ID","Destination Airport Code","Destination City Name","Destination State Abr","Destination State Name","Departure Delay","Taxi Out","Taxi In","Arrival Delay","Fly Time Scheduled","Fly Time Actual","Distance Miles","Distance Group","Carrier Delay","Weather Delay","Airport Delay","Security Delay","Late Aircraft Delay","Distance Group Name"
"06:00 - 06:59","06:00 - 06:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","6","6","1","2023-02-13 00:00:00","19393","WN","N8626B","922","1198603","31986","GRR","Grand Rapids, MI","MI","Michigan","1323202","30977","MDW","Chicago, IL","IL","Illinois","2","19","6","-4","65","59","137","1","0","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","6","7","1","2023-02-06 00:00:00","19393","WN","N767SW","1809","1239103","31703","ISP","Islip, NY","NY","New York","1082106","30852","BWI","Baltimore, MD","MD","Maryland","0","24","2","3","80","83","220","1","0","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","6","7","1","2023-02-06 00:00:00","19393","WN","N8674B","1351","1393102","33667","ORF","Norfolk, VA","VA","Virginia","1082106","30852","BWI","Baltimore, MD","MD","Maryland","2","9","4","-9","60","49","159","1","0","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","6","7","1","2023-02-06 00:00:00","19393","WN","N484WN","1636","1219103","31453","HOU","Houston, TX","TX","Texas","1125904","30194","DAL","Dallas, TX","TX","Texas","2","12","4","-2","65","61","239","1","0","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","6","7","1","2023-02-06 00:00:00","19393","WN","N7862A","10","1114008","31140","CRP","Corpus Christi, TX","TX","Texas","1219103","31453","HOU","Houston, TX","TX","Texas","5","10","8","-3","60","52","187","1","0","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-07 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","6","7","1","2023-02-06 00:00:00","19393","WN","N8744B","1045","1217305","32134","HNL","Honolulu, HI","HI","Hawaii","1240203","32402","ITO","Hilo, HI","HI","Hawaii","-3","18","4","11","60","74","216","1","0","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Carrier","87","2023-02-13 00:00:00","6","7","1","2023-02-13 00:00:00","19393","WN","N8767M","1066","1217305","32134","HNL","Honolulu, HI","HI","Hawaii","1383002","33830","OGG","Kahului, HI","HI","Hawaii","88","17","3","87","45","44","100","1","87","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","6","7","1","2023-02-13 00:00:00","19393","WN","N788SA","2742","1319801","33198","MCI","Kansas City, MO","MO","Missouri","1501606","31123","STL","St. Louis, MO","MO","Missouri","9","17","4","2","70","63","237","1","0","0","0","0","0","Less Than 250 Miles"
"07:00 - 07:59","06:00 - 06:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Carrier","27","2023-02-13 00:00:00","6","7","1","2023-02-13 00:00:00","19393","WN","N902WN","2067","1468305","33214","SAT","San Antonio, TX","TX","Texas","1219103","31453","HOU","Houston, TX","TX","Texas","47","7","6","27","65","45","192","1","27","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","06:00 - 06:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","6","8","1","2023-02-06 00:00:00","19393","WN","N908WN","2594","1537002","34653","TUL","Tulsa, OK","OK","Oklahoma","1125904","30194","DAL","Dallas, TX","TX","Texas","1","12","4","-11","75","63","238","1","0","0","0","0","0","Less Than 250 Miles"
